date,tweet_processed,score,sentiment
1/16/2015, reliance industry alok agarwal cfo took measures to cushion impact of falling crude prices reliance industry alok agarwal cfo this was a tough quarter but satisfied with the performance reliance industry cfo satisfied with q numbers,0.6705,1
1/20/2015,how reliance life insurance uses tech to improve customer experience video accelerateindia ,0.4404,1
2/4/2015, applicants list payments bank ab nuvo reliance ind tech mah videocon d h,0,1
3/27/2015,nifty breaches reliance idea fall ,0.4019,1
4/20/2015,global cues negative can reliance q nos lift nifty today global cues negative can reliance q nos lift nifty today ,-0.4588,-1
5/14/2015,stocks in news reliance industries lupin ntpc idea ,0,1
6/12/2015, reliance plans to apply for paymentbank licence mukeshambani reliance is committed to principles of netneutrality says mukeshambani reliance plans to make a wide network of merchants using jiomoney and expand jio s presence across the country in phases reliance jio plans to get into broadcast distribution business mukeshambani reliancejio is present in all states of india we aim to have national coverage within three years with reliance jio mukeshambani reliance saw grm of usd bbl in fy amid challenging environment mukeshambani reliance embarked upon investing in budding new facilities that will come to fruition in months mukeshambani,0.6124,1
6/18/2015, sensex zooms pts on dovish fed comments reliance leads ,0,1
7/24/2015, reliance cfo saw yoy growth in demand for gasoline amp for diesel reliance cfo fall in crude prices gave refiners option to optimise sourcing reliance cfo saw strong uptick in transportation fuels amp petchem products reliance cfo co s oil amp gas biz affected by global commodity prices,0.4588,1
10/16/2015, reliance q net up qoq to rs cr grm at bl reliance q petchem ebit at rs cr vs rs cr reliance q petchem ebit at rs cr vs cr reliance q standalone net profit at rs crore ebitda at rs crore,0.946,1
10/19/2015, market closing sensex up pts and nifty above on reliance infosys support ,0.6597,1
10/28/2015, platts top energy cos nhpc new entrant reliance no ,0.1779,1
11/4/2015, nifty fails to hold sensex down icicibank amp reliance drag tatamotors up ,-0.25,-1
12/14/2015,chart stocks making news today are reliance com natco pharma infosys amp stocks sensex dataviz ,0,1
12/27/2015,reliance jio unveils g services at star studded event celebratingjio flameoftruth reliance jio unveils g services at star studded event celebratingjio flameoftruth an hour to go reliance jio to launch g services for employees at celebratingjio event today flameoftruth ,0,1
1/18/2016,interactive nifty ends at sensex skids pts reliance tanks ,0.4019,1
1/19/2016,earnings bite all you need to know about reliance ind s q results in secs rilresults reliance retail posts highest ever quarterly turnover in q rilresults expert view has reliance stock factored in robust q rilresults reliance q profit beats estimates up grm at year high rilresults earnings alert reliance ind q standalone ebitda margin at vs rilresults earnings alert reliance ind q standalone refining ebit at rs cr vs rs cr rilresults earnings alert reliance ind q standalone pat at rs cr income at rs cr rilresults earnings alert reliance ind q gross refining margin at bbl vs cnbc tv poll of bbl rilresults earnings alert reliance ind q standalone petchem ebit margin at earnings alert reliance inds standalone net profit at cr for dec results,0.9934,1
1/21/2016,axis bank tata sponge reliance infra in focus post q nos axisbank reliance infra q net up at rs crore ,0,1
2/4/2016,reliance infra sells cement business to birla corp for rs crore ,0,1
2/5/2016,reliance infra sells cement business to birla corp for rs crore relianceinfra birlacorp,0,1
2/15/2016,reliance jio other telcos form knowledge sharing alliance flameoftruth ,0.4215,1
2/18/2016,reliance set to buy iran oil after five year hiatus sources ,0.9186,1
2/28/2016,reliance launches sub rs lyf smartphones ,0,1
2/29/2016,reliance retail launches sub rs lyf smartphones ,0,1
3/10/2016,interactive chart profit booking drags sensex pts infosys reliance l amp t sink ,0.9062,1
4/8/2016,sc dismisses pil against reliance jio s g licence ,0,1
4/22/2016,reliance q net at rs crore grms at bbl news alert reliance ind q standalone net profit at rs crore rilresults via cnbctv live ,0.9349,1
4/29/2016,not possible to achieve self reliance in defence parrikar ,0.1027,1
5/4/2016,reliance power gets in principle nod for lng based plant in bangladesh ,0,1
5/6/2016,reliance capital q net profit up at rs crore ,0.9186,1
6/9/2016, buzzingstock reliance mf increases stake in lovable lingerie stock up stockmarket ,0.9517,1
6/10/2016, stocksinnews alkem labs motherson sumi reliance comm gail stockmarket ,0,1
6/23/2016, buzzingstock reliance comm shares up after icra upgrades outlook to stable stockmarket ,0.5267,1
7/1/2016, buzzingstock reliance defence gets reserve bank nod to exit cdr stock up rbi cdr ,0.1027,1
7/7/2016,reliance jio bond issue attracts bids worth rs crore ,0.5574,1
7/15/2016, earnings highlights of reliance industries q standalone performance reliance q profit beats estimates up at rs cr earnings rilresults pre opening market likely to surge infosys reliance in focus nifty ,0.9403,1
7/18/2016,sensex gains over points nifty firm reliance up nifty ,0.7783,1
7/20/2016,nifty hits sensex firm wipro tanks reliance up nifty stockmarket ,0.6597,1
7/22/2016, buzzingstock reliance defence signs cub concession agreement with gujarat maritime board stock up stocks ,0.5574,1
7/28/2016,no plans to shut jewellery business reliance retail jewellery ,-0.296,-1
8/3/2016,reliance jio gets green nod for aae i su a cable project ,0,1
8/5/2016,reliance jio to have million recharge outlets at launch ,0,1
8/25/2016, india marching towards self reliance in missile system ,0,1
8/31/2016,reliance mf begins merger with goldman mf schemes ,0,1
9/1/2016,reliance jio parks rs crore fund for startups reliance jio parks rs crore fund for startups sensex nifty end in red reliance down slumps nifty relianceagm calling jio key takeaways from reliance inds nd agm relianceagm infograph calling jio key takeaways from reliance inds nd agm relianceagm reliancejio g reliance jio takeaways ambani s datagiri jio to come with free calls cheap data reliance agm jio unleashes datagiri on rivals with free voice relianceagm reliancejio g reliance jio announces free voice calls cheaper data tariffs relianceagm reliancejio g buzzingstock idea fall as ambani announces reliance jio tariff telecom free data voice video amp apps for users from september december reliance retail to become major pillar for reliance group relianceagm reliancemobile reliance agm jio to offer data at rs gb for g data relianceagm reliancemobile relianceagm ethane project at jamnagar will be ready by end of this fiscal reliance incumbent operators have significant advantage over new entrants reliance relianceagm relianceagm india will change forever from september reliance have invested over rs cr on petchem business reliance relianceagm have invested over rs cr on petchem business reliance relianceagm idea fall as ambani announces reliance jio tariff relianceagm telecom incumbents must not misuse market power to create unfair hurdles reliance relianceagm reliance jio aims to acquire million customers relianceagm jiodigitallife live market updates nifty still below reliance jio to launch on september nifty relianceagm jio g reliance jio to be launched on september services free till december i relianceagm jiodigitallife reliance jio to charge rs gb for g data says ambani relianceagm jiodigitallife ril agm live reliance jio s data tariff to be th of rivals says mukesh ambani relianceagm jiodigitallife live market updates nifty sensex sluggish reliance up as agm underway relianceagm pre opening global cues may drag market reliance cement amp oil cos in focus nifty stocks ,0.9847,1
9/2/2016,watch reliance industries may test rs says deven choksey investment tips should you buy idea or reliance nifty telecom stockmarket ,0.9403,1
9/6/2016,video reliance jio launches g services begins quest for million users reliance jio launches g services begins quest for mn users jiodigitalindia g reliancejio,0,1
9/7/2016,reliance energy holding up shift to uniform tariff minister ,0.2732,1
9/8/2016,video will resolve reliance jio s interconnect issue soon telecom min reliance industries rated among top global companies survey key takeaways from reliance chairman mukesh ambani s interview mukeshambani reliancejio ,0.5267,1
9/12/2016,reliance jio to raise rs crore via rights issue reliance power q net up at rs crore reliance cap to transfer commercial finance biz to separate firm ,0,1
9/14/2016,watch reliance communications aircel merger deal sealed sources reliance comm q profit seen down ebitda may grow reliance cap to list home finance biz eyes rs k crore loan book ,0.9186,1
9/15/2016,leeco partners with reliance jio for welcome offer ,0.4588,1
9/16/2016,oppo partners with reliance jio for welcome offer ,0.4588,1
9/17/2016,received payment from reliance jio for new capacity ,0,1
9/20/2016, nifty struggles below infosys hdfc reliance drag stockmarket stocks ,-0.1779,-1
9/23/2016,interactive chart profit booking drags sensex pts axis tanks reliance up buzzingstock andhra bank ties up with cigna ttk reliance general insurance stockmarket andhra bank ties up with cigna ttk reliance general insurance sensex nifty open flat l amp t reliance m amp m early gainers stockmarket ,0.9325,1
9/26/2016,airasia india ties up with reliance general insurance reliance jio says coai voting norms skewed in favour of operators telecom ,0.4404,1
9/27/2016,reliance capital eyes consumer lending growth home finance listing by april relianceagms ,0.3818,1
10/3/2016,watch rafale deal reliance dassault aviation set up joint venture ,0,1
10/6/2016, sensex nifty open in green axis drags reliance amp aurobindo up stockmarkets ,0.25,1
10/14/2016,reliance communications in pact with brookfield to sell tower assets telecom ,-0.9062,-1
10/20/2016,reliance q profit rises grm at bbl petchem shines reliance q beats estimates profit rises grm at bbl reliance q beats estimates profit up to rs cr q earnings nifty nears sensex climbs firmly icici reliance l amp t gain stockmarket stocks ,0.9948,1
10/21/2016,reliance retail s pre tax profit jumps to rs crore ,0.9776,1
10/26/2016,reliance energy offers customer services on whatsapp ,0.2732,1
10/30/2016, buzzingstocks heritage foods up to buy dairy business of reliance retail ,0.9186,1
11/3/2016,reliance jio to install mobile towers in months ,0,1
11/4/2016,reliance to contest government s billion penalty irdai slaps rs lakh fine on reliance nippon life insurance ,-0.296,-1
11/11/2016,market update sensex cracks over pts nifty in red sbi down reliance up ,0.4019,1
11/18/2016,reliance global launches international calling app reliance communications creates new infra company towercom ,0.2732,1
11/23/2016,zee to acquire tv channels of reliance group in radio biz ,0,1
12/1/2016, key takeaways from mukesh ambani s address on reliance jio ,0,1
12/21/2016,reliance comm surges on tower sale deal with brookfield bull s eye buy biocon grasim dabur bata moil reliance cap ,0.9186,1
12/23/2016,bull s eye buy reliance infra beml srf sell ashok leyland ,0,1
12/26/2016, sensex nifty still under pressure hul reliance gainers ,0.128,1
1/13/2017,reliance jio to invest rs crore more in networks ,0,1
1/16/2017,reliance q profit rises to rs cr grm at bbl reliance q profit seen up at rs cr grm may be at bbl ,0.9776,1
1/17/2017,reliance mf cpse etf issue gets oversubscribed by four times stocks in news reliance teamlease suzlon gvk fortis mrpl ,0,1
1/30/2017,reliance defence bags rs crore contract from defence ministry ,0.2023,1
2/2/2017,reliance jio demonetisation led to revenue drop vodafone ,-0.2732,-1
2/8/2017,reliance power q net rises to rs crore ,0,1
2/10/2017,reliance capital q profit drops to rs crore q results ,0,1
2/11/2017,reliance capital q profit drops to rs crore ,0,1
2/13/2017,reliance defence signs warship repair pact with us navy ,-0.0772,-1
2/14/2017,hot on the charts stocks reliance securities is bullish on ,0.296,1
2/15/2017,video french co dassault aviation inks jv with reliance defence ,0.1027,1
2/16/2017,reliance jio crosses mn customers mukesh ambani jio g reliance infra arm rdl to collaborate with uae s mubadala ,0,1
2/17/2017,chart hdfc bank market cap sails past reliance on fii buying chart hdfc bank market cap sails past reliance on fii buying via malinibhupta video reliance capital to sell its stake in paytm sources ,-0.9186,-1
2/18/2017,reliance capital plans to sell stake in paytm for mn chart hdfc bank market cap sails past reliance on fii buying ,-0.9186,-1
2/21/2017,watch reliance jio presser analysts expect plans for new subscribers comment reliance jio s pricing suggests bloodbath ahead for other telcos comment reliance jio s pricing suggests bloodbath ahead for other telcos reliancejio ambani announces reliance jio prime membership programme live reliance jio will start offering tariff plans from april live reliance jio will provide more data says ambani ,0,1
2/22/2017,watch not just jio reliance at yr high but it s only breaking out reliance alone lifts market despite selling in infosys hdfcs video not just jio reliance at yr high but it s only breaking out sensex off day s high nifty still holds on reliance rally reliance jio to decide telcos earnings for couple of years cs as reliance hits year high here s what brokerages are saying buzzingstock reliance hits year high up as investors cheer jio offers stockmarket jioprime reliance jio to decide telcos earnings for couple of years cs ,0.9981,1
2/23/2017,comment reliance jio s rivals don t factor in bloody data battle ahead reliancejio reliance jio effect buys telenor ahead of voda idea deal comment reliance jio s rivals don t factor in bloody data battle ahead reliancejio watch reliance jio effect buys telenor ahead of voda idea deal comment reliance jio s rivals don t factor in bloody data battle ahead reliancejio video mayuresh joshi optimistic on reliance s core amp non core biz ,-0.9217,-1
2/27/2017,reliance jio effect kills domestic roaming morgan stanley ups reliance target to rs on energy earnings video porinju reliance may rise why investors must watch politics grofers inks deal with reliance fresh relaunches in nine cities morgan stanley ups reliance target to rs on energy earnings reliance market capitalisation crosses rs lakh cr stock up ,0.9325,1
2/28/2017,defence to be biggest business for reliance group anil ambani defence to be biggest business for reliance group anil ambani ,0.2023,1
3/1/2017,reliance jio prime membership new plans amp how to avail them ,0,1
3/3/2017,reliance jio s grand plan capture half the market by reliance jio s grand plan capture half the market by via malinibhupta reliancejio sponsored start your journey towards financial independence reliance mf mfdayson th reliance jio s grand plan capture half the market by via malinibhupta upbeat analysts view on jio sends reliance stock higher by ,0.8402,1
3/6/2017,reliance rises to hit fresh year high crosses rs mark market update sensex up pts post gst council meet reliance at year high ,0.9805,1
3/7/2017,reliance capital to sell its stake in paytm to alibaba sources ,-0.9186,-1
3/10/2017,reliance jio paytm apologise for using pm s photo in ads ,0.3818,1
3/15/2017,reliance communication gets sebi nod for merger with aircel reliance communications rises on wireless biz demerger approval ,0.4767,1
3/18/2017,if i could be again reliance would be times bigger mukesh ambani ,0,1
3/20/2017,reliance retail may spend rs cr for business expansion in next yrs reliance retail may spend rs crore for business expansion in next years reliance communications aircel deal gets cci nod reliance jio effect vodafonein announces merger with ideacellular ,0,1
3/24/2017,stocks in the news yes bank nhpc majesco idbi reliance comm ujaas energy ,0.5859,1
